"MM33"	"MM42"	"MM23"	"MM41"	"MM32"	"MM39"	"MM9"	"MM38"	"MM6"	"MM3"	"MM14"	"MM15"	"MM13"	"MM24"	"MM4"	"MM40"	"MM19"	"MM20"	"MM28"	"MM25"	"MM17"	"MM1"	"MM35"	"MM26"	"MM16"	"MM29"	"MM10"	"MM7"	"MM21"	"MM2"	"MM5"	"MM18"	"MM8"	"MM34"	"MM22"	"MM31"	"MM27"	"MM37"	"MM30"	"MM11"	"MM36"	"MM12"	"MM45"	"MM43"	"MM44"
"4283838"	2	0	0	0	6	0	31	3	3	7	2	0	2	2	0	0	1	2	2	0	0	0	177	4	1	1	35	2	3	0	0	6	0	14	0	8	0	1	0	3	4	2	0	3	14
"112986"	0	2	2	1	0	0	2	1	50	18	1	2	2	0	4	0	0	0	0	2	0	0	2	1	6	2	3	1	3	0	2	3	3	0	0	4	1	2	1	7	0	0	1	5	0
"112169"	3	2	5	11	1	16	1	9	5	8	6	1	0	2	0	4	1	2	1	0	0	3	6	0	2	2	4	6	0	3	4	2	3	1	0	4	2	10	0	3	11	0	4	5	8
"1109050"	0	1	1	6	1	8	0	0	1	0	1	1	0	1	1	4	0	4	1	0	1	0	5	1	0	0	0	4	1	0	0	0	0	2	2	4	0	2	0	1	2	0	4	4	7
"236935"	22	26	14	26	12	32	10	20	10	9	7	3	9	5	10	21	6	5	7	3	6	14	60	3	8	9	4	5	11	8	8	7	6	15	1	20	1	38	4	7	24	2	16	41	47
"4341346"	5	2	1	1	5	1	0	1	0	0	0	0	1	1	7	2	3	1	0	0	0	0	4	0	1	0	0	0	1	0	0	3	1	2	1	1	1	1	2	0	1	0	1	2	1
"4319210"	74	44	25	78	80	56	25	44	19	16	14	36	29	23	36	39	12	16	24	20	25	21	157	6	31	19	12	29	24	40	26	13	24	57	12	70	16	60	23	25	55	19	46	100	82
"511514"	70	220	45	164	51	202	58	117	131	84	166	36	28	13	50	150	30	43	58	29	33	90	110	10	68	64	69	142	24	86	51	32	33	70	11	159	11	187	15	48	179	66	181	129	178
"912372"	22	53	24	35	26	32	82	33	61	32	24	8	9	11	29	31	7	19	19	19	19	38	64	13	23	20	84	30	27	32	19	24	5	46	5	41	14	27	13	24	20	25	15	93	31
"4359497"	6	10	3	8	4	2	2	13	2	1	6	2	1	0	3	6	2	0	7	0	1	3	9	0	1	1	0	1	1	0	0	2	0	3	3	3	0	10	1	0	2	1	9	5	9
"4377277"	1	4	1	2	0	0	0	1	0	2	1	0	0	1	0	2	0	0	3	0	0	0	0	0	0	2	3	0	1	1	2	2	0	1	0	0	0	3	0	0	1	0	4	0	2
"384373"	63	109	34	102	69	43	45	54	57	55	71	40	41	39	50	123	27	46	48	32	42	63	13	14	49	46	39	38	47	57	36	33	43	78	27	33	17	29	23	43	22	38	52	12	43
"4380346"	8	7	5	13	16	0	3	8	6	3	4	8	8	6	3	9	8	8	3	3	10	5	0	1	3	9	0	4	6	6	0	3	3	3	6	1	4	0	3	10	0	6	1	0	2
"4395846"	12	3	10	11	13	6	5	6	3	7	4	13	7	4	5	7	6	3	16	4	13	6	4	6	13	10	2	10	10	17	6	4	10	9	10	16	5	9	8	4	5	6	2	0	2
"4319207"	3	1	2	0	4	0	3	1	2	2	0	4	2	2	7	1	1	3	1	1	2	2	0	1	3	3	2	4	9	4	2	2	4	6	1	1	1	0	0	3	1	4	0	0	0
"573327"	77	97	23	136	48	115	51	58	94	43	68	39	34	10	50	133	15	30	42	13	21	70	67	3	32	24	30	99	20	80	44	23	22	72	7	117	12	110	11	46	79	27	96	131	95
"105839"	11	31	8	29	11	22	5	34	11	8	15	4	7	4	17	22	3	6	8	7	3	11	22	2	6	7	1	29	2	13	7	5	2	6	4	24	2	40	1	7	21	2	36	23	44
"156895"	182	237	94	235	245	181	135	123	150	146	186	126	98	83	141	316	85	83	137	108	107	251	176	29	125	118	92	122	83	170	117	111	107	199	54	195	42	183	64	90	170	75	295	357	306
"4314930"	0	5	0	5	0	9	3	3	1	0	3	0	0	1	0	4	0	0	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	2	0	9	0	0	6	0	7	12	10
"1135012"	10	3	5	2	7	0	3	2	1	3	2	3	7	2	4	5	4	8	2	7	0	2	1	2	3	4	2	2	1	8	3	2	4	5	0	0	0	0	4	4	1	0	0	0	1
"443417"	0	1	0	3	1	0	1	0	6	3	0	0	1	0	0	0	0	3	0	2	0	1	0	1	2	0	9	3	0	0	2	0	0	0	2	0	0	0	3	1	0	0	0	0	2
"255057"	39	2	23	0	46	1	1	3	3	6	1	41	15	11	10	0	17	8	26	10	10	5	1	1	6	11	3	2	18	2	5	10	30	34	15	4	3	0	7	8	0	32	0	1	0
"241049"	2	1	4	3	4	0	0	0	2	2	0	3	2	0	2	1	0	1	6	1	0	1	0	0	0	1	0	3	0	2	0	0	2	7	0	1	2	1	2	3	0	2	3	1	0
"712016"	6	0	4	0	23	0	0	0	0	1	0	15	16	7	6	0	8	4	14	3	3	0	1	0	3	2	0	0	2	2	3	5	15	27	7	1	0	0	1	3	0	9	0	1	0
"585878"	119	3	36	3	99	1	5	1	11	9	0	74	47	21	23	8	30	26	42	10	23	4	38	7	18	15	3	0	29	4	9	11	55	122	17	19	8	2	28	16	1	72	3	13	1
"1105138"	25	4	8	6	27	5	9	1	6	2	1	13	20	8	11	4	11	12	6	8	10	9	19	3	3	6	1	0	9	7	5	18	13	33	3	11	1	7	4	6	2	10	5	9	3
"669776"	48	2	32	4	97	1	4	2	3	5	1	49	44	24	27	0	28	18	22	14	37	2	131	3	15	15	2	1	11	8	9	22	57	176	6	32	4	3	10	22	3	40	0	15	0
"586031"	4	0	1	0	3	2	4	2	3	3	1	9	3	2	4	0	0	1	3	1	0	3	10	0	2	1	0	0	0	1	2	1	4	2	2	4	0	2	0	3	2	11	1	5	2
"763545"	13	0	9	2	24	0	0	0	1	0	0	12	8	4	1	0	5	4	7	3	1	0	13	2	2	2	0	0	2	1	0	1	12	51	3	2	0	0	0	6	0	6	0	4	0
"812105"	56	4	37	5	108	1	3	4	6	7	0	44	33	19	14	0	27	9	36	5	32	3	62	10	13	15	6	0	8	6	6	8	56	173	9	5	5	2	15	12	4	24	1	4	5
"253155"	5	0	14	1	25	0	2	0	4	1	1	12	7	3	4	2	10	4	7	3	1	0	5	1	5	2	0	2	1	4	1	0	8	25	2	6	3	0	2	12	0	7	1	0	1
"1019326"	9	1	3	2	28	1	0	0	2	3	0	13	12	3	7	0	4	7	13	3	4	1	22	0	5	3	0	0	3	10	1	3	10	27	2	13	0	1	1	2	0	13	2	8	2
"1128107"	36	0	29	0	43	0	0	0	0	2	0	28	38	11	10	0	16	16	32	8	26	0	165	2	7	4	0	0	9	2	4	16	27	94	9	6	2	0	16	13	0	41	0	6	0
"822979"	1	0	2	0	8	0	0	0	1	0	0	1	0	3	3	0	5	6	1	1	2	0	3	1	1	0	0	1	0	0	1	1	11	4	0	3	0	0	3	0	0	11	1	0	0
"209998"	8	3	5	1	6	1	2	1	2	3	0	4	7	0	2	4	4	5	2	2	0	0	1	0	1	0	1	2	3	8	5	2	7	11	3	2	1	3	1	4	0	2	0	2	3
"331521"	1	1	6	2	2	1	2	1	1	1	0	1	0	1	0	1	4	0	0	0	0	0	1	0	0	0	1	1	0	3	1	0	2	0	0	2	0	1	1	1	3	0	1	2	0
"1105652"	4	3	1	7	2	5	0	1	1	1	1	0	1	0	0	1	0	3	1	0	0	0	3	0	0	1	2	1	1	2	0	0	0	7	0	15	0	13	1	0	2	0	2	3	0
"648118"	2	0	0	1	1	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0	0	2	5	0	0	3	1	0	0	2	0	0	1	1	0	3	0	0	2	0	1	0	0	4	0
"1143745"	37	22	22	10	68	12	11	6	11	17	5	16	27	16	24	18	23	21	27	14	23	12	219	8	18	20	11	9	17	21	18	13	36	108	10	106	7	8	16	26	11	22	23	160	13
"4304927"	4	0	0	1	6	0	0	0	0	3	0	0	1	2	0	2	2	0	0	1	0	0	21	1	0	0	2	0	0	1	1	0	3	6	0	6	0	1	0	1	3	1	5	3	3
"328307"	9	10	15	1	14	8	5	9	2	1	2	9	3	4	5	3	7	2	6	4	6	3	27	7	6	2	4	3	5	7	5	11	4	25	5	21	6	7	8	2	2	9	4	23	7
"1042351"	42	4	28	7	76	2	1	0	5	9	0	30	19	6	23	0	16	16	22	13	26	4	47	13	7	5	1	2	14	19	18	9	28	78	7	26	8	4	9	16	1	20	1	17	0
"534321"	2	2	4	0	7	1	1	0	0	2	0	2	6	2	2	0	1	0	4	0	3	2	5	1	1	3	0	0	3	4	0	2	3	4	2	3	2	0	5	1	1	2	1	1	0
"136286"	21	3	16	5	27	2	5	0	4	3	0	9	21	7	11	2	13	8	16	9	7	6	68	6	11	7	5	1	13	8	10	5	10	33	6	17	2	5	8	9	0	20	1	39	0
"4314932"	177	38	118	14	195	36	34	24	51	41	15	108	118	38	110	19	74	65	133	42	94	63	395	27	72	50	27	14	63	101	35	67	127	283	56	252	45	64	46	70	35	117	52	244	27
"813916"	15	0	6	0	22	2	2	2	2	3	0	13	7	4	8	2	1	6	10	3	8	3	14	1	4	1	1	2	8	4	10	4	16	15	7	23	0	7	1	4	2	4	0	5	0
"327042"	4	3	6	8	6	14	0	7	4	1	5	1	3	0	7	5	1	1	4	1	0	2	7	0	2	1	1	5	3	8	1	1	1	6	1	16	3	13	3	2	3	10	6	24	6
"248104"	2	0	1	2	4	0	2	2	1	0	0	0	1	0	2	0	0	2	0	0	0	0	2	0	0	1	0	0	3	0	1	0	0	3	0	2	1	1	0	0	0	1	0	4	0
"241078"	44	9	39	23	98	18	12	17	7	16	1	45	42	27	35	7	27	20	57	19	24	4	179	7	18	16	8	5	22	25	14	17	53	183	14	73	11	15	14	18	7	36	19	106	16
"1108685"	4	2	2	3	3	1	1	2	4	1	1	1	3	1	2	0	3	0	7	1	0	0	13	1	1	1	2	1	0	5	2	1	2	13	5	8	1	0	0	0	2	2	3	13	2
"959744"	21	21	19	39	24	42	17	10	25	9	20	8	7	9	9	21	6	16	27	8	10	16	38	2	16	5	5	14	3	33	7	4	17	25	4	45	11	40	0	20	37	27	24	37	10
"824399"	52	55	27	53	50	62	26	58	31	30	23	15	20	15	29	45	25	15	26	8	15	17	77	8	25	32	26	19	12	47	23	17	20	99	5	117	6	77	20	16	50	22	47	93	51
"112326"	6	2	1	2	6	4	1	3	1	0	0	3	3	3	4	0	4	3	0	4	4	2	8	2	1	2	0	0	6	1	3	4	10	10	2	14	2	4	2	1	2	2	7	6	0
"4401982"	4	6	3	16	6	4	3	4	7	2	1	3	1	0	3	7	1	5	5	1	1	1	1	1	6	2	0	10	0	8	2	3	4	4	2	17	0	5	2	3	1	3	3	10	2
"628318"	14	0	5	1	11	0	0	2	1	0	1	9	1	1	1	0	1	1	3	1	3	0	0	0	0	0	0	1	0	3	2	0	10	4	0	1	0	0	1	7	0	2	0	1	0
"4298513"	30	0	11	0	24	0	0	1	1	1	0	5	5	5	4	0	3	0	7	1	10	0	4	0	6	5	1	2	1	3	1	3	2	18	5	6	0	1	1	3	0	1	6	4	0
"4360284"	34	3	34	8	83	1	1	1	10	7	1	26	6	4	7	1	6	1	22	11	21	5	18	3	15	6	3	0	9	15	6	6	21	31	7	11	3	2	5	9	1	16	0	9	0
"537655"	12	5	7	3	30	0	0	1	0	1	0	12	1	8	0	1	3	7	2	0	5	0	0	0	0	1	0	1	3	7	0	1	6	13	2	1	1	1	0	4	0	5	0	0	2
"1106498"	65	27	52	90	100	10	25	10	42	18	19	25	10	3	14	11	7	3	56	3	26	2	11	2	28	2	3	27	4	27	8	5	25	67	4	56	2	11	3	37	7	6	18	8	4
"817606"	3	2	2	0	5	0	1	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	1	2	2	1	4	0	1	0	1	0	4	0	0	0	0	0
"210132"	2	0	1	3	3	1	0	0	1	0	1	5	3	1	3	0	1	0	6	0	1	6	3	2	2	0	4	0	0	3	1	0	4	3	1	0	0	1	6	1	0	0	1	5	0
"329074"	33	1	8	1	45	0	1	0	1	0	0	29	6	10	7	1	10	3	15	2	11	2	4	4	8	2	0	0	3	6	1	7	30	55	7	5	0	0	5	10	1	5	0	4	0
"252249"	4	0	3	0	12	0	0	0	0	0	0	4	1	1	0	0	0	3	1	0	1	0	1	1	0	3	0	0	0	0	0	4	0	7	0	0	0	0	0	4	0	3	0	0	1
"4334908"	37	0	15	0	37	0	0	0	0	0	0	12	14	11	1	0	6	2	7	5	20	0	7	0	9	7	0	0	3	1	0	6	12	23	4	0	1	0	3	3	0	5	0	0	0
"574623"	25	1	4	0	34	0	0	0	0	0	0	18	11	4	2	0	6	2	5	6	2	1	0	1	4	1	2	0	6	3	1	1	15	10	4	0	3	0	1	1	0	7	0	2	0
"785355"	9	4	2	1	9	0	3	0	3	1	0	2	0	2	2	1	2	5	0	1	5	2	6	0	1	0	0	0	0	2	1	0	3	2	0	6	2	2	4	0	0	4	4	1	0
"240534"	2	0	4	0	6	1	2	0	2	0	0	0	1	1	1	1	0	2	1	0	0	0	3	0	3	1	0	0	2	1	1	0	5	5	1	4	0	1	1	1	2	5	0	1	0
"207151"	6	0	4	2	14	4	0	4	2	3	1	5	4	6	3	2	3	1	6	0	3	0	5	3	3	1	0	3	4	4	1	0	5	11	2	6	1	4	2	2	0	9	4	0	0
"4391597"	0	6	4	0	0	0	2	1	3	1	0	0	2	3	1	0	4	3	0	4	1	0	0	1	0	0	0	0	2	0	2	5	3	1	4	0	1	1	1	0	0	0	0	0	0
"696105"	0	0	0	3	1	2	4	2	1	1	1	2	2	2	3	1	1	1	0	0	0	1	0	0	1	1	1	0	0	6	0	1	3	2	5	0	0	4	1	3	0	3	0	0	0
"1120231"	1	6	0	4	0	11	0	10	2	1	5	0	1	2	5	1	0	4	1	4	0	7	1	0	3	0	2	6	0	1	1	3	2	2	0	4	0	8	0	0	8	1	9	2	8
"1132655"	12	55	17	50	16	69	16	45	16	26	33	11	21	5	25	51	7	24	18	12	16	13	29	12	12	6	6	34	15	24	12	22	14	52	18	40	7	81	18	16	78	16	88	28	79
"4398400"	1	5	0	0	0	0	1	1	0	2	0	1	3	0	0	0	0	2	2	1	4	0	0	5	3	1	0	0	2	3	3	1	2	0	1	0	2	3	0	3	4	0	2	0	2
"1925452"	0	1	0	1	2	1	0	0	1	1	0	0	1	0	2	0	1	5	0	0	0	1	3	1	1	0	0	1	2	0	2	3	0	2	3	4	1	0	2	2	1	0	1	1	0
"4456633"	4	5	5	6	11	11	4	3	3	8	4	13	10	8	9	7	6	8	7	14	6	3	3	4	6	6	2	3	7	3	3	9	6	12	2	8	2	19	18	0	18	0	9	0	2
"113347"	1	4	4	1	0	13	0	1	4	6	1	4	6	2	2	9	1	17	1	3	7	0	0	1	0	2	8	4	1	3	12	1	4	0	2	1	1	9	5	5	7	0	4	2	11
"113607"	2	6	0	0	1	1	3	2	0	5	3	2	2	1	0	5	3	3	1	2	0	4	1	5	2	1	10	9	0	1	1	3	2	4	1	0	1	3	0	1	5	0	7	3	2
"4443544"	6	4	4	4	1	15	5	7	6	5	2	5	4	0	1	1	6	7	3	0	4	0	2	5	7	2	1	4	1	3	3	0	3	4	0	10	2	12	4	3	4	2	11	6	6
"593400"	4	20	6	7	3	28	7	4	14	6	10	4	3	2	3	11	2	7	13	8	10	3	2	3	7	7	3	17	2	10	2	9	3	14	7	11	1	13	12	10	27	13	6	9	9
"806063"	0	21	2	0	2	0	2	0	0	2	1	0	0	0	0	0	1	1	0	1	1	4	2	1	1	0	0	1	1	1	0	1	0	2	2	0	0	3	1	0	3	0	0	3	1
"246449"	85	24	115	44	55	61	36	8	19	53	16	74	100	55	46	23	70	81	88	68	71	50	59	43	67	48	19	12	69	66	43	93	86	110	65	23	30	38	65	62	22	82	27	20	13
"577215"	1	0	2	0	0	0	0	0	0	0	0	5	10	6	3	0	2	8	5	1	3	1	1	4	5	0	0	0	1	3	2	3	9	1	4	1	4	0	8	6	0	0	0	0	0
"141861"	1	0	9	0	2	0	6	0	2	1	0	3	12	8	8	0	10	13	7	12	6	4	0	6	3	7	1	0	4	3	2	9	10	2	14	0	7	1	9	5	0	16	0	1	0
"1876538"	7	3	5	6	1	0	2	1	1	1	0	9	4	7	1	0	7	4	13	8	14	2	7	1	10	2	6	0	4	3	3	13	5	4	5	3	4	2	16	2	3	8	1	0	0
"209250"	1	0	2	0	2	1	0	1	0	0	0	1	2	1	4	0	1	0	1	1	1	1	0	0	1	0	2	0	0	0	1	1	1	0	1	0	0	2	2	0	1	2	0	0	0
"825595"	17	14	17	18	22	37	7	11	7	12	12	16	13	11	23	7	13	14	15	9	16	9	30	6	6	3	10	8	8	28	13	10	13	61	14	39	1	60	6	21	35	17	29	35	16
"90580"	11	13	13	41	4	35	6	14	19	11	8	5	13	3	16	11	8	13	27	18	8	16	14	3	9	3	4	15	15	20	12	14	12	82	6	19	3	33	11	11	24	5	35	17	10
"1107346"	5	9	7	16	9	15	5	3	5	4	4	2	4	4	3	7	3	5	15	6	3	8	16	5	3	3	5	5	2	5	5	7	5	21	2	20	1	10	1	3	16	6	14	23	6
"275105"	23	32	26	73	25	58	30	47	20	26	14	16	19	10	37	37	15	42	38	14	17	29	37	14	16	15	10	33	21	30	21	25	18	116	4	79	3	85	6	17	76	18	59	34	23
"547608"	2	0	2	2	1	1	0	0	1	0	0	0	0	0	5	0	1	0	0	0	0	0	3	0	0	0	2	1	0	7	0	0	0	1	0	2	0	1	0	0	0	2	1	3	0
"584174"	18	8	15	15	10	30	15	4	8	13	6	11	18	9	8	3	10	16	6	7	13	10	14	6	11	6	6	5	10	17	17	6	11	11	8	23	4	36	5	12	3	8	11	35	2
"582611"	7	9	5	9	8	13	11	6	12	9	4	3	11	4	18	8	4	15	13	5	2	15	7	2	9	8	6	11	1	11	5	5	5	29	1	13	1	18	2	4	19	4	16	11	9
"572890"	1	3	1	6	1	6	1	5	1	2	6	3	1	2	0	0	1	1	0	2	2	2	15	1	0	0	1	1	1	2	1	0	1	3	0	5	0	5	0	0	7	0	1	4	0
"2406106"	67	77	80	88	79	88	56	24	55	74	34	45	67	47	65	47	61	62	107	77	57	73	58	36	52	97	35	32	49	76	40	78	42	147	52	73	32	92	50	45	62	52	82	69	38
"216549"	19	43	9	18	12	18	7	6	8	10	6	6	7	7	13	13	20	9	10	5	9	13	24	0	3	5	3	12	7	22	10	8	13	14	11	123	1	57	11	3	22	1	32	49	5
"607006"	18	11	11	19	21	12	5	1	8	12	4	11	19	6	20	5	2	3	4	4	1	11	24	2	7	2	2	6	6	15	4	8	7	8	4	51	4	23	2	5	6	5	5	17	1
"2651008"	83	100	50	83	102	52	25	13	28	29	5	48	43	23	38	11	51	37	55	21	22	32	304	21	20	30	5	10	26	59	24	42	52	140	32	395	15	71	32	32	26	28	59	126	14
"4373456"	25	16	25	11	20	30	26	3	16	19	6	19	21	12	18	9	16	14	16	16	19	21	28	7	12	8	6	9	16	30	15	17	37	39	11	49	6	26	6	6	6	9	199	23	6
"735782"	45	75	19	73	41	37	8	11	9	27	3	18	16	3	20	12	10	22	27	6	7	12	81	6	11	17	5	23	16	43	8	13	23	64	16	89	8	103	15	10	38	17	81	96	23
"226364"	43	14	11	3	13	66	7	5	9	14	9	6	5	2	11	4	14	10	6	8	3	11	16	2	4	19	4	3	8	6	3	9	4	14	4	31	1	6	10	3	9	8	21	52	6
"4320239"	5	1	2	0	5	1	0	0	0	1	0	7	5	0	2	0	0	2	1	2	2	0	8	1	4	1	0	0	1	6	0	6	6	5	4	3	0	1	1	1	1	0	1	6	0
"759250"	4	4	1	12	3	9	4	8	4	4	3	3	3	1	3	9	1	6	1	2	0	0	3	0	1	0	1	6	2	10	2	2	0	8	2	14	2	11	0	2	10	0	11	8	5
"4346058"	3	1	2	2	5	2	0	0	0	0	0	9	3	1	1	2	5	0	11	2	3	1	4	1	5	1	1	2	1	2	2	0	3	18	6	1	1	6	0	1	2	1	4	4	1
"4297568"	1	0	1	0	0	0	1	0	2	0	1	0	0	2	0	1	0	0	0	0	2	0	1	1	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	3	3	0	2	1
"4421238"	11	0	6	0	10	0	0	0	1	3	0	5	8	3	2	0	5	6	7	3	5	0	5	2	0	1	1	0	2	7	2	3	7	14	3	4	1	0	0	0	0	3	0	1	0
"213944"	0	0	4	3	2	3	2	0	1	1	2	0	3	0	1	0	0	0	0	0	0	1	3	0	2	0	0	1	1	1	0	2	3	1	0	3	0	4	2	4	1	6	0	1	1
"4440638"	6	13	16	15	18	15	11	8	6	9	7	2	17	8	14	9	7	10	12	9	7	6	7	4	5	5	3	19	13	24	19	12	13	31	11	32	4	32	5	13	15	12	43	4	4
"697997"	186	115	102	89	117	124	72	42	79	64	63	86	119	51	116	63	72	92	96	65	79	102	92	54	69	62	37	71	76	153	71	84	140	187	56	152	23	157	64	102	88	126	161	65	37
"4346060"	37	56	30	29	37	20	27	22	18	15	17	20	25	17	19	10	13	26	38	10	12	45	42	11	18	18	10	17	20	52	15	21	41	50	17	52	10	65	13	13	34	11	79	30	14
"4322536"	7	13	3	6	3	6	3	5	1	3	1	9	5	2	6	5	7	4	2	6	1	7	9	2	2	4	3	4	13	5	5	2	0	21	3	12	0	16	0	1	10	0	8	4	0
"4260702"	13	7	8	7	11	2	2	1	4	1	2	3	6	5	7	1	10	4	5	2	8	4	5	2	0	7	1	2	3	4	1	3	6	13	6	6	4	3	3	1	1	5	0	2	5
"732890"	16	19	13	24	11	17	9	20	21	12	5	4	12	5	23	16	7	6	11	8	6	20	12	6	10	6	8	8	9	16	10	3	5	31	8	31	10	15	7	6	11	12	23	25	9
"314978"	4	0	11	2	6	0	2	0	2	2	2	4	9	6	5	0	6	5	6	2	12	4	2	1	4	4	0	0	4	6	1	7	8	9	7	0	2	0	0	3	0	16	0	0	0
"701722"	7	6	5	10	10	20	4	3	1	1	2	7	2	3	6	5	1	7	12	3	5	2	1	2	5	3	0	7	3	4	4	2	2	3	1	4	2	24	4	0	10	5	14	0	5
"4330994"	0	0	3	4	6	0	1	0	3	2	0	3	3	1	4	0	7	2	3	1	0	2	0	0	4	0	0	0	2	1	0	4	3	9	3	0	0	0	4	3	0	0	1	0	0
"3253464"	51	4	51	12	52	3	7	4	13	14	5	44	45	17	23	5	23	44	41	17	35	14	18	9	12	13	2	2	23	49	22	21	48	96	21	24	11	2	27	21	3	30	3	10	2
"632918"	6	4	1	1	6	0	0	0	1	0	1	5	1	2	3	0	3	0	5	1	1	0	0	0	1	5	0	0	5	2	2	1	5	1	0	1	3	0	3	4	0	0	0	1	0
"210951"	62	10	38	36	48	18	17	5	25	26	4	45	37	22	35	4	20	20	25	24	17	19	29	20	19	20	6	16	16	39	21	28	41	84	9	19	7	13	18	16	11	30	12	16	3
"195316"	7	0	5	3	6	0	1	0	2	4	0	6	17	8	0	0	4	4	5	5	9	1	0	5	2	3	1	2	7	3	7	4	12	7	3	4	2	0	3	2	1	5	0	0	0
"4456936"	12	2	11	4	24	3	6	1	4	4	0	12	11	7	16	2	6	10	12	12	10	3	4	3	5	3	5	1	11	16	9	4	12	26	4	6	1	0	7	9	0	7	0	1	1
"4326151"	5	0	3	10	2	0	8	0	7	4	3	4	18	1	3	0	2	7	12	5	12	10	1	0	8	3	3	2	3	10	2	3	11	0	0	2	1	0	2	5	0	17	0	0	2
"3018647"	20	5	13	4	31	11	7	1	12	6	17	18	24	8	16	5	17	6	11	18	13	5	5	2	15	18	4	4	14	5	15	12	12	25	8	6	6	1	6	16	4	16	9	11	0
"628225"	2	0	0	0	2	1	0	4	0	1	0	0	2	1	0	0	1	2	2	0	4	0	0	2	0	0	1	1	1	2	0	0	0	2	0	2	1	0	0	3	0	3	0	1	0
"3783370"	12	15	7	7	6	13	2	7	7	11	4	6	11	4	5	15	4	8	5	6	21	1	6	1	6	2	2	7	2	11	6	3	7	7	6	17	7	9	18	13	10	6	24	10	8
"4319244"	5	1	3	3	6	2	3	1	2	1	2	1	1	2	0	0	4	1	3	2	6	0	4	7	1	2	0	2	2	4	0	3	5	2	3	4	1	0	6	1	0	7	0	3	0
"621571"	1	0	7	2	6	0	0	0	0	0	0	6	7	0	1	0	2	2	4	1	3	0	0	1	0	2	0	0	2	1	0	4	2	3	3	4	0	0	7	2	0	1	0	2	0
"717262"	6	2	2	3	3	0	1	1	1	1	0	4	1	2	2	1	2	3	2	0	2	1	1	1	1	0	0	1	1	0	0	1	1	3	0	1	0	0	0	0	0	0	1	0	0
"4338566"	36	12	14	9	15	4	6	5	12	3	5	21	11	11	17	5	11	10	16	7	10	11	9	1	12	6	4	4	7	10	3	6	16	17	8	6	6	3	5	7	1	5	9	10	3
"112828"	54	0	36	0	101	0	5	0	5	3	0	46	24	35	7	0	36	12	31	22	45	1	30	9	23	31	5	0	14	4	6	22	23	72	20	4	8	0	27	4	0	30	0	2	0
"154822"	6	1	4	1	7	0	0	2	3	4	0	4	1	3	4	0	7	4	3	1	1	0	7	0	1	4	1	0	1	0	0	1	1	2	7	1	1	0	1	1	0	3	0	2	0
"210306"	14	0	4	0	12	0	2	0	1	4	0	0	1	2	2	0	3	3	11	4	1	3	6	2	1	1	1	0	2	3	1	7	7	5	1	3	0	0	2	4	1	1	0	1	0
"2578357"	1	1	1	1	2	1	0	0	0	2	0	0	2	1	1	2	1	0	3	1	2	2	3	0	1	4	0	0	1	1	0	3	1	1	0	0	0	2	0	1	0	0	0	2	3
"155216"	6	0	2	0	0	0	1	1	0	0	0	2	0	2	1	0	0	0	1	1	0	0	7	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"3243803"	84	0	71	6	160	0	6	0	16	16	0	64	41	52	22	0	66	24	68	36	76	21	20	13	39	45	6	0	25	15	13	50	53	108	45	2	12	0	41	31	0	37	0	9	4
"4297239"	24	1	25	0	29	1	6	0	7	7	1	45	28	12	13	0	22	22	32	17	23	12	4	8	22	26	2	2	17	9	5	17	34	13	23	0	5	0	21	11	0	27	0	3	0
"256536"	91	2	54	7	82	2	8	1	13	28	4	51	46	13	24	3	34	21	58	13	44	17	19	7	32	46	12	0	23	26	16	23	38	101	31	9	11	1	31	35	1	33	1	7	0
"812831"	87	0	57	0	201	1	4	0	10	3	0	95	61	65	20	0	65	11	86	37	68	12	43	8	26	48	1	0	35	4	8	22	73	120	43	4	6	0	38	17	1	43	0	11	0
"204462"	8	8	3	5	13	3	9	3	3	6	9	3	6	6	6	5	4	9	1	1	2	20	7	0	3	5	2	4	2	16	4	0	3	5	1	1	1	4	0	1	5	3	9	0	3
"1123984"	8	14	11	16	8	14	13	7	8	7	9	1	8	2	7	25	6	8	9	9	6	15	4	6	1	9	5	14	6	5	7	9	6	3	8	9	0	6	4	5	12	8	15	6	9
"242467"	3	0	4	0	1	1	0	0	1	0	0	4	1	3	1	0	1	3	4	2	8	1	3	2	0	2	1	0	1	1	0	1	1	1	2	0	2	0	2	0	0	0	0	0	0
"257039"	27	7	41	16	23	6	10	1	6	12	1	35	11	10	15	4	10	19	17	6	9	14	12	8	19	11	3	3	7	14	12	11	17	14	14	16	3	4	6	13	2	10	5	12	0
"154320"	78	32	38	41	58	28	22	17	18	15	20	38	10	7	26	20	26	44	25	17	25	20	127	7	31	10	15	15	12	32	16	20	28	42	12	39	5	33	11	38	16	10	21	50	32
"203969"	6	0	6	0	3	0	0	0	0	1	1	2	3	0	0	0	2	0	3	1	2	2	0	0	1	1	2	0	0	0	0	4	1	0	2	0	3	0	3	5	0	3	0	0	0
