"MM33"	"MM42"	"MM23"	"MM41"	"MM32"	"MM39"	"MM9"	"MM38"	"MM6"	"MM3"	"MM14"	"MM15"	"MM13"	"MM24"	"MM4"	"MM40"	"MM19"	"MM20"	"MM28"	"MM25"	"MM17"	"MM1"	"MM35"	"MM26"	"MM16"	"MM29"	"MM10"	"MM7"	"MM21"	"MM2"	"MM5"	"MM18"	"MM8"	"MM34"	"MM22"	"MM31"	"MM27"	"MM37"	"MM30"	"MM11"	"MM36"	"MM12"	"MM45"	"MM43"	"MM44"
"4450065"	4	17	8	3	7	4	2	24	1	7	0	1	3	4	0	0	8	14	2	5	4	2	41	1	3	1	3	0	3	0	1	0	2	2	0	7	3	6	3	2	5	2	0	36	7
"367733"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	1	0	0	0	0	1	0	1	0	2	0	0	2	2	6	0	0	2	1	4	0	5
"878059"	0	0	2	0	0	0	1	0	0	1	0	0	2	3	0	0	6	0	0	4	0	0	0	16	0	0	14	1	2	4	1	3	0	0	1	0	1	0	10	5	0	0	0	2	0
"207813"	0	0	0	3	0	3	0	0	2	0	3	2	9	7	2	2	3	1	0	11	5	0	0	8	4	0	0	1	7	1	0	9	0	0	20	2	3	1	14	0	4	0	42	0	3
"2565175"	0	4	1	0	0	13	2	2	3	5	5	7	7	12	10	2	3	8	5	7	58	9	0	4	10	1	2	3	8	7	2	2	9	0	22	1	28	9	7	2	2	11	8	1	20
"316000"	0	0	14	0	0	0	4	0	1	0	2	1	0	0	0	0	0	69	0	1	0	0	0	0	1	0	23	111	0	13	2	0	2	0	0	0	0	0	0	61	0	7	0	0	0
"3330580"	1	0	5	0	0	0	3	0	51	1	0	0	0	0	0	0	9	0	0	0	0	16	0	9	10	0	0	2	0	0	0	0	14	0	0	0	0	0	2	2	0	0	0	0	0
"4350042"	0	1	1	0	0	1	1	3	0	0	0	0	2	3	0	1	0	1	0	2	1	1	19	2	0	0	0	1	3	0	0	4	0	4	1	4	2	1	1	4	2	0	1	11	0
"1052930"	3	3	4	4	0	8	1	4	0	0	1	1	5	8	3	1	5	2	3	9	5	2	10	6	0	1	0	3	14	2	6	14	4	3	9	10	5	12	9	1	7	0	7	8	9
"964020"	23	104	73	15	41	289	26	119	9	28	14	79	122	217	117	42	86	71	38	218	167	112	165	215	62	82	11	51	247	29	115	205	85	48	264	136	100	593	200	11	384	51	343	166	235
"4402757"	0	1	1	0	1	2	0	0	0	0	0	0	0	3	2	0	1	0	0	1	0	1	4	2	0	0	0	3	0	0	0	0	1	0	3	1	4	2	0	0	0	2	0	2	5
"4330939"	14	16	21	3	32	58	13	40	10	7	3	6	22	16	9	7	22	55	13	25	5	9	48	36	26	17	28	2	58	7	11	35	18	5	34	15	18	121	52	8	51	26	25	78	18
"4352433"	0	4	0	2	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	0	1	2	0	0	0	2	3	0	2	0	2	6	0	0	1	0	3	3	0	1	0	8
"2693226"	13	4	0	0	3	10	2	45	2	2	1	1	5	10	3	3	8	29	0	15	4	0	1	7	2	4	0	1	18	0	3	4	1	2	23	1	8	7	4	0	2	3	18	37	24
"982582"	1	8	2	0	0	1	0	3	2	3	1	1	8	3	0	3	2	6	2	2	0	0	3	2	1	0	1	1	5	0	6	2	3	2	3	0	1	3	1	2	11	0	1	2	3
"3059362"	0	0	0	0	0	4	0	5	0	0	1	0	3	4	0	2	4	4	2	0	9	0	0	3	1	1	0	2	5	0	3	0	2	0	4	1	3	2	4	1	0	0	0	4	9
"803752"	15	0	48	0	19	0	0	0	1	1	0	75	130	82	17	0	94	17	17	66	54	0	46	22	16	27	4	0	31	2	9	39	97	39	156	1	21	0	61	10	0	53	0	5	0
"139220"	1	0	1	0	2	0	0	0	0	0	0	2	3	9	4	0	6	1	0	3	4	0	4	2	0	1	0	0	0	0	0	1	4	1	7	0	0	0	1	5	0	5	0	0	0
"4370648"	18	12	63	2	17	91	15	45	0	3	1	142	112	119	53	13	92	62	15	81	60	18	60	42	38	37	1	2	81	21	33	54	90	21	176	10	43	157	103	23	63	63	63	28	112
"4298530"	1	0	0	0	4	0	2	0	0	0	0	4	3	5	5	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	9	0	2	0	2	0	0	0	1	0	0
"941498"	3	2	4	0	1	12	0	0	0	0	0	5	7	16	4	0	20	1	0	22	4	0	4	4	4	17	0	0	13	2	3	4	6	0	30	0	22	2	27	1	5	1	3	2	1
"218479"	9	8	12	1	17	14	0	1	0	5	1	27	28	21	6	1	37	13	7	25	13	3	78	5	8	11	0	1	11	4	4	12	33	11	36	3	17	15	37	3	11	16	14	28	0
"1139932"	0	0	0	0	0	0	16	0	0	1	11	0	0	3	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	30	0	0	2	0	0	0	0	0
"1140286"	9	18	17	15	6	70	25	25	59	34	29	19	8	8	57	20	14	17	25	14	12	75	85	8	21	14	18	41	8	50	40	15	16	2	9	82	17	23	10	29	45	15	14	94	32
"1898675"	14	101	21	158	1	662	6	659	89	84	117	8	8	11	29	346	5	34	9	22	21	30	4	6	22	19	5	100	8	34	39	4	10	10	6	8	9	524	1	10	479	3	322	37	522
"106252"	1	99	1	137	1	524	4	547	22	40	69	0	2	2	30	230	3	18	4	10	26	25	1	3	8	17	1	104	0	14	33	0	6	1	1	12	6	290	2	7	984	3	304	160	443
"944510"	7	23	17	13	1	73	21	6	14	5	10	18	9	2	32	23	14	4	12	8	5	18	8	1	9	16	3	12	4	23	11	4	25	3	7	11	10	20	11	13	23	14	33	57	29
"644798"	1	0	2	0	0	0	5	0	10	7	4	32	1	59	7	0	33	1	0	2	14	1	0	9	1	9	9	4	0	7	7	0	3	0	17	0	1	0	4	2	0	40	0	0	0
"819037"	0	2	2	1	0	29	8	20	16	1	29	1	1	0	11	7	2	8	9	3	8	4	0	3	7	3	4	9	1	11	15	0	5	0	1	2	3	43	3	12	13	4	2	1	13
