#OTU_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
EU133174.1.1410	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Thermoleophilia	 D_3__Solirubrobacterales	 D_4__Solirubrobacteraceae	 D_5__Solirubrobacter	 Ambiguous_taxa
FMZJ01000033.324.1818	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Sphingomonadales	 D_4__Sphingomonadaceae	 D_5__Sphingomonas	 Ambiguous_taxa
KJ191983.1.1471	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Elsterales	 D_4__uncultured	 D_5__uncultured Rhodospirillales bacterium	 D_6__uncultured Rhodospirillales bacterium
AB821127.1.1476	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rhizobiales	 D_4__Beijerinckiaceae	 D_5__Roseiarcus	 D_6__uncultured bacterium
FM208262.1.1439	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Micromonosporales	 D_4__Micromonosporaceae	 D_5__Rugosimonospora	 Ambiguous_taxa
JN672387.1.1317	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Subgroup 22	 D_3__uncultured bacterium	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
EU132188.1.1367	D_0__Bacteria	 D_1__Acidobacteria	 D_2__Subgroup 6	 D_3__uncultured bacterium	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
EF018337.1.1401	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Deltaproteobacteria	 D_3__Myxococcales	 D_4__mle1-27	 D_5__uncultured proteobacterium	 D_6__uncultured proteobacterium
HQ119675.1.1467	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Rhizobiales	 D_4__uncultured	 D_5__uncultured bacterium	 D_6__uncultured bacterium
KM035980.1.1447	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Xanthomonadales	 D_4__Xanthomonadaceae	 D_5__Lysobacter	 Ambiguous_taxa
EU134247.1.1300	D_0__Bacteria	 D_1__Chloroflexi	 D_2__TK10	 D_3__uncultured bacterium	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
FM872981.1.1508	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Deltaproteobacteria	 D_3__Myxococcales	 D_4__Polyangiaceae	 D_5__Pajaroellobacter	 Ambiguous_taxa
FJ478898.1.1506	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Thermoleophilia	 D_3__Gaiellales	 D_4__uncultured	 D_5__uncultured bacterium	 D_6__uncultured bacterium
GQ472939.1.1228	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Betaproteobacteriales	 D_4__Burkholderiaceae	 D_5__Acidovorax	 D_6__uncultured bacterium
HM773530.1.1438	D_0__Bacteria	 D_1__Patescibacteria	 D_2__Saccharimonadia	 D_3__Saccharimonadales	 D_4__uncultured bacterium	 D_5__uncultured bacterium	 D_6__uncultured bacterium
LT629697.2717089.2718612	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Frankiales	 D_4__Frankiaceae	 D_5__Jatrophihabitans	 Ambiguous_taxa
AB257646.1.1479	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Alphaproteobacteria	 D_3__Sphingomonadales	 D_4__Sphingomonadaceae	 D_5__Qipengyuania	 Ambiguous_taxa
KC554411.1.1514	D_0__Bacteria	 D_1__Actinobacteria	 D_2__Actinobacteria	 D_3__Frankiales	 D_4__Nakamurellaceae	 D_5__Nakamurella	 Ambiguous_taxa
KJ569231.1.1428	D_0__Bacteria	 D_1__Proteobacteria	 D_2__Gammaproteobacteria	 D_3__Betaproteobacteriales	 D_4__Burkholderiaceae	 D_5__Herminiimonas	 D_6__uncultured Oxalobacteraceae bacterium
KY117515.1.1476	D_0__Bacteria	 D_1__Bacteroidetes	 D_2__Bacteroidia	 D_3__Sphingobacteriales	 D_4__Sphingobacteriaceae	 D_5__Mucilaginibacter	 Ambiguous_taxa
HM322089.1.1363	D_0__Bacteria	 D_1__Gemmatimonadetes	 D_2__Longimicrobia	 D_3__Longimicrobiales	 D_4__Longimicrobiaceae	 D_5__uncultured bacterium	 D_6__uncultured bacterium
